keywords,time,resolution,geo_name,geo_code,value
korean skincare||skincare,today 12-m,DMA,Eureka CA,802,0|100
korean skincare||skincare,today 12-m,DMA,Jackson TN,639,0|100
korean skincare||skincare,today 12-m,DMA,Grand Junction-Montrose CO,773,0|100
korean skincare||skincare,today 12-m,DMA,Casper-Riverton WY,767,0|100
korean skincare||skincare,today 12-m,DMA,St. Joseph MO,638,0|100
korean skincare||skincare,today 12-m,DMA,Helena MT,766,0|100
korean skincare||skincare,today 12-m,DMA,Parkersburg WV,597,0|100
korean skincare||skincare,today 12-m,DMA,Great Falls MT,755,0|100
korean skincare||skincare,today 12-m,DMA,Bluefield-Beckley-Oak Hill WV,559,0|100
korean skincare||skincare,today 12-m,DMA,Ottumwa IA-Kirksville MO,631,0|100
korean skincare||skincare,today 12-m,DMA,Quincy IL-Hannibal MO-Keokuk IA,717,0|100
korean skincare||skincare,today 12-m,DMA,Lima OH,558,0|100
korean skincare||skincare,today 12-m,DMA,Victoria TX,626,0|100
korean skincare||skincare,today 12-m,DMA,Juneau AK,747,0|100
korean skincare||skincare,today 12-m,DMA,Mankato MN,737,0|100
korean skincare||skincare,today 12-m,DMA,Presque Isle ME,552,0|100
korean skincare||skincare,today 12-m,DMA,Marquette MI,553,0|100
korean skincare||skincare,today 12-m,DMA,Meridian MS,711,0|100
face mist||moisturizer,today 12-m,REGION,Wyoming,US-WY,4|96
face mist||moisturizer,today 12-m,REGION,District of Columbia,US-DC,4|96
face mist||moisturizer,today 12-m,REGION,New York,US-NY,3|97
face mist||moisturizer,today 12-m,REGION,Florida,US-FL,4|96
face mist||moisturizer,today 12-m,REGION,California,US-CA,3|97
face mist||moisturizer,today 12-m,REGION,Utah,US-UT,4|96
face mist||moisturizer,today 12-m,REGION,Washington,US-WA,4|96
face mist||moisturizer,today 12-m,REGION,New Jersey,US-NJ,3|97
face mist||moisturizer,today 12-m,REGION,Delaware,US-DE,4|96
face mist||moisturizer,today 12-m,REGION,Connecticut,US-CT,4|96
face mist||moisturizer,today 12-m,REGION,Nevada,US-NV,4|96
face mist||moisturizer,today 12-m,REGION,Virginia,US-VA,3|97
face mist||moisturizer,today 12-m,REGION,Texas,US-TX,3|97
face mist||moisturizer,today 12-m,REGION,Hawaii,US-HI,3|97
face mist||moisturizer,today 12-m,REGION,Massachusetts,US-MA,3|97
face mist||moisturizer,today 12-m,REGION,Arizona,US-AZ,3|97
face mist||moisturizer,today 12-m,REGION,Colorado,US-CO,4|96
face mist||moisturizer,today 12-m,REGION,Illinois,US-IL,3|97
face mist||moisturizer,today 12-m,REGION,Georgia,US-GA,3|97
face mist||moisturizer,today 12-m,REGION,Nebraska,US-NE,4|96
face mist||moisturizer,today 12-m,REGION,Maryland,US-MD,3|97
face mist||moisturizer,today 12-m,REGION,Tennessee,US-TN,3|97
